"","vbgf.fits.agg$wbic","vbgf.fits.agg$year","Linf","k","t0"
"69",2329600,1999,40.3081947213191,0.0752722282396852,-1.686545371278
"70",2327500,1999,46.527472678051,0.0475165580988943,-2.84577062133967
"71",2963800,1999,21.6188161678248,0.25643528923842,0.885948805610533
"72",1600200,2000,58.2166944751096,0.0352300584720393,-2.64785511085693
"73",2328800,1999,50.2930536992746,0.0527768645856022,-0.994361053584225
"74",2964100,1999,76.7234359422388,0.0195708829607206,-4.48244222957089
"75",2329000,1999,37.417638824535,0.0709580262198642,-2.87733946167897
"76",2953500,2000,96.3109914531762,0.0180986614332498,-3.55726819220891
"77",1599600,2000,33.8634432596051,0.08368854686513,-1.42703753767994
"78",2953100,2000,62.2348183423129,0.0318627847048895,-3.29159881701375
"79",2329800,1999,60.1190402979469,0.0431482315479099,-1.8216847001395
"80",2331600,2001,36.2114303526954,0.0684361330737289,-3.40045915705859
"81",1600300,2000,38.9180048002122,0.0680964682282799,-1.69296292256708
"82",2340700,2001,49.4847531835402,0.0636090667099246,-0.531759766962567
"83",1602300,2001,42.0671719938593,0.069360986387525,-2.48626465990911
"84",2268600,2005,56.8407853513037,0.0396254853278492,-2.75439292490002
"85",1591100,2011,27.6675593468431,0.168181990431029,0.18440019474603
"86",2340700,2011,50.5646471229314,0.0481316932602615,-2.38381021458423
"87",2340500,2011,66.3598658286235,0.0321982174419996,-2.85916645550477
"88",1545600,2011,38.6794540739835,0.0769027427033201,-1.85148557505134
"89",2310400,2010,28.8697459205419,0.116227671374057,-0.886561166951565
"90",2331600,2010,33.5063639485998,0.0630940646998651,-4.49642265984507
"91",2310200,2010,30.5062975086409,0.100576715127316,-1.14773096184733
"92",1621800,2010,27.7517381347817,0.126043333539704,-2.20403015772766
"93",2311700,2010,33.186827610394,0.0821206358240161,-1.59994165283714
"94",2328700,2012,26.1789231023658,0.137148858928087,-1.01325046210002
"95",1018500,2012,25.8797767543394,0.164153347300495,-1.3218177244558
"96",2956700,2012,26.6843734905805,0.190070843042236,-0.118013915195506
"97",1592400,2012,25.7430721501635,0.133524016065914,-1.94381964081482
"98",1600300,2013,28.5755868450898,0.156293668505093,-0.141480872243484
"99",2331600,2013,39.6520018177632,0.0604573660968241,-2.95099251086866
"100",1603700,2013,40.4722794292897,0.0693437287037347,-1.53544140709402
"101",1600200,2013,50.0659736421883,0.0423159151620533,-3.32642010689811
"102",1600100,2013,26.5527522546632,0.153110060207864,-1.67652134093901
"103",1631900,2015,12.8600600445746,0.456237434086218,-1.62517519243079
"104",1596300,2015,24.8330705568252,0.190374069177034,-0.737471214769159
"105",2316600,2015,31.1506767898161,0.0945205329926104,-1.90037610965642
"106",1545300,2015,16.6242340174867,0.275809302662889,-2.43598178263377
"107",1013800,2014,18.213625196502,0.299218746472769,-0.556111676450704
"108",1545600,2014,38.9909242651364,0.0667398902195668,-3.5384991152177
"109",1018500,2015,113.624794073452,0.0262376956551336,-0.292301125162884
"110",1592400,2015,42.4676893682853,0.0404346223960574,-5.47410109803383
"111",1545300,2016,32.6693700978441,0.0678952962822887,-4.42622009108424
"112",2962900,2009,35.4690190746182,0.0642023462206283,-3.45824472793126
"113",2329300,2016,13.7127448044282,0.253195885078174,-3.49301461802824
"114",2962400,2009,60.4668261683114,0.0247928324193273,-5.99751319168452
"115",1835300,2016,19.9122793400721,0.289852897161076,0.170317526683652
"116",1629500,2016,21.8804169934905,0.204656484468009,-0.631107863586018
"117",2954500,2016,69.0430484299642,0.0264793750303182,-3.43916337323317
"118",1592400,2009,69.4098208051562,0.0191124458911942,-7.33362043957808
"119",2331600,2016,33.2499614782947,0.0748853965808643,-3.50697224787392
"120",1018500,2009,24.8086875236588,0.146390912741362,-1.76655549450874
"121",1623800,2017,28.6484297635013,0.105836390926992,-1.90276546474584
"122",1545600,2017,23.8887372957742,0.204493485981307,-1.31264729091016
"123",1545300,2017,24.0731857310976,0.299673815257292,0.38134085836817
"124",2954800,2018,552.925599233505,0.00256100593853619,-4.87698311654233
"125",2268600,2018,41.13848980874,0.0790008521737603,-1.29439222701951
"126",2958500,2019,42.3289980043316,0.0498602359021474,-3.85483929304288
"127",2332300,2019,48.1039235631882,0.0381085423163849,-5.7826634865281
"128",2331600,2019,29.0033157016806,0.107753669508818,-2.86879968984941
"129",1596600,2019,25.5430663039675,0.199114998718453,-0.690216413101527
"130",1592400,2018,23.666122252458,0.192229992856991,-0.561470012859117
"131",1018500,2018,24.1517522466484,0.188342899826417,-0.528540471582899
"132",1591100,2021,34.9979142866041,0.0784743173798706,-2.99185085492841
"133",2331600,2022,25.8066750663717,0.181869272663515,-0.594487588811504
"134",2336800,2016,40.7971164385927,0.0655265418930681,-2.16499669950766
"135",1602600,2022,41.1724759055473,0.0628799157542742,-3.45029758517465
"136",716800,2021,33.8904102473682,0.147771316236871,-0.0661665237466828
"137",1602300,2022,31.0877897125851,0.130991902946914,-1.29129267401179
"138",2344000,2009,23.7250805254023,0.146817888164793,-0.910134386026457
"139",1539700,2022,31.3867524273307,0.22076247574046,0.909466286844763
"140",2343200,2009,23.7983388521191,0.115140111550815,-2.75743420234307
"141",995200,2021,40.6898698452309,0.0422947445850266,-5.63430585229796
"142",1592400,2021,26.0199149604035,0.129353342357754,-2.02445696352976
"143",1592400,2022,11.5285714204582,0.530628252761286,-1.93524745619212
"144",2329000,2019,54.4283244424485,0.0417249557761932,-2.91787532637066
"145",1593800,2013,30.9747828210805,0.111874705299645,-1.62969715794383
