"","wbic","Name","pe","Model","year","age0.cpe","COUNTY","LAKE","AREA","WDNRTYPE","CODE","CRNTCODE","annual.fishing.effort"
"314",1482400,"TUG",924,1,1973,NA,NA,NA,NA,NA,NA,NA,NA
"315",1482400,"TUG",457,1,1989,NA,NA,NA,NA,NA,NA,NA,NA
"316",1482400,"TUG",801,1,2007,51.1111111,"LINCOLN","TUG L",151,"Walleye","C-","C-ST",6417.82326631702
"317",1490300,"SEVEN ISLA",649,1,1978,NA,NA,NA,NA,NA,NA,NA,NA
"318",1490300,"SEVEN ISLA",572,1,1996,19.75,"LINCOLN","SEVEN ISLAND L",132,NA,"C-NR","C-NR",NA
"319",1490300,"SEVEN ISLA",934,2,2001,1.5,"LINCOLN","SEVEN ISLAND L",132,NA,"ST","C-NR",NA
"320",1490300,"SEVEN ISLA",218,2,2006,0,"LINCOLN","SEVEN ISLAND L",132,"Comprehensive","C-ST","C-NR",NA
"321",1494600,"Alexander",923,1,2011,NA,NA,NA,NA,NA,NA,NA,NA
"322",1502400,"Grandfather Fl",1659,1,2013,0.75,"LINCOLN","GRANDFATHER FL",350,NA,"NR-2","NR",NA
"323",1503000,"Grandmother Fl",2041,1,2013,NA,NA,NA,NA,NA,NA,NA,NA
"324",1506800,"SPIRIT RES",3056,2,1986,NA,NA,NA,NA,NA,NA,NA,NA
"325",1506800,"SPIRIT RES",4751,1,2005,NA,NA,NA,NA,NA,NA,NA,NA
"326",1515200,"North Spir",528,2,2004,NA,NA,NA,NA,NA,NA,NA,NA
"327",1515400,"MOHAWKSIN",2674,1,1980,NA,NA,NA,NA,NA,NA,NA,NA
