WBIC,Lake Name,County,Area (acres),Area (ha),Max Depth (ft),Max Depth (m),Latitude,Longitude,Final Lake Class,Temp Transitional,Clarity Transitional,If not then (for 2-story and stocked trout lakes)
2419700,Stearns Lake,Sawyer,12,4.9,11,3.4,46.1212549,-91.1808028,Simple - Warm - Dark,n/a,n/a,n/a
2389400,Summit Lake,Sawyer,61,24.7,22,6.7,45.7705307,-91.4446645,Simple - Cool - Clear,no,no,n/a
1884600,Sunfish Lake,Sawyer,8,3.2,14,4.3,45.9362643,-91.2898279,Simple - Warm - Dark,n/a,n/a,n/a
2277400,Swamp Lake,Sawyer,248,100.4,8,2.4,45.7962953,-90.7001037,Simple - Harsh - No Fishery,n/a,n/a,n/a
2414900,Tamarack Lake,Sawyer,3,1.2,10,3.0,45.9858958,-91.0763248,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2417000,Teal Lake,Sawyer,1049,424.5,31,9.4,46.0856668,-91.1042923,Complex - Cool - Dark,no,no,n/a
2416900,Teal River Flowage,Sawyer,75,30.4,9,2.7,46.0609507,-91.0904757,Complex - Riverine,n/a,n/a,n/a
1885400,Thomas Lake,Sawyer,32,12.9,20,6.1,45.6950386,-91.5301339,Simple - Warm - Dark,n/a,n/a,n/a
2365700,Thornapple Spring,Sawyer,1,0.4,4,1.2,45.7342972,-90.9127194,Simple - Harsh - No Fishery,n/a,n/a,n/a
2435000,Tiger Cat Flowage (Upper Twin),Sawyer,299,121.0,27,8.2,46.0530975,-91.273717,Complex - Cool - Clear,no,no,n/a
2703500,Totagatic Flowage*,Sawyer,479,193.8,12,3.7,46.11162,-91.53533,Complex - Cool - Dark,no,no,n/a
2502500,Tripp Lake,Sawyer,57,23.1,5,1.5,45.9020511,-91.5380579,Simple - Harsh - Has Fishery,n/a,n/a,n/a
1886600,Trout Lake,Sawyer,11,4.5,10,3.0,46.0262956,-91.1283094,Simple - Harsh - No Fishery,n/a,n/a,n/a
2726900,Turk Spring,Sawyer,1,0.4,5,1.5,46.0424917,-91.43925,Simple - Trout Pond,n/a,n/a,n/a
1887000,Turtle Lake,Sawyer,2,0.8,17,5.2,46.1217784,-91.0943366,Simple - Harsh - No Fishery,n/a,n/a,n/a
1859600,Twenty-Seven Lake (Bass),Sawyer,56,22.7,21,6.4,45.9210163,-91.4731562,Simple - Cool - Clear,no,no,n/a
1887200,Two Axe Lake,Sawyer,57,23.1,4,1.2,45.9181548,-91.0760968,Simple - Warm - Dark,n/a,n/a,n/a
2432000,Two Boys Lake,Sawyer,102,41.3,37,11.3,45.8995782,-91.208692,Complex - Warm - Dark,n/a,n/a,n/a
1887400,Two Deer Lake,Sawyer,15,6.1,10,3.0,46.0806549,-91.0770548,Simple - Harsh - No Fishery,n/a,n/a,n/a
2043800,Venison Lake,Sawyer,4,1.6,27,8.2,45.954373,-91.0893224,Simple - Warm - Dark,n/a,n/a,n/a
2415300,Venison Spring,Sawyer,1,0.4,10,3.0,45.9638551,-91.0565131,Simple - Trout Pond,n/a,n/a,n/a
2043900,Villard Lake,Sawyer,17,6.9,11,3.4,45.7041733,-91.1905007,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2373600,Weirgor Lake (Bass),Sawyer,45,18.2,19,5.8,45.7302463,-91.3082003,Simple - Harsh - Has Fishery,n/a,n/a,n/a
