"LakeClass","Species","vb_param","Percentile","value"
"Complex Riverine","Black Crappie","K","0.90_percentile",0.266460741
"Complex Riverine","Black Crappie","t0","0.90_percentile",-0.231674318
"Complex Two Story","Black Crappie","Linf","0.90_percentile",438.7957068
"Complex Two Story","Black Crappie","K","0.90_percentile",0.558372504
"Complex Two Story","Black Crappie","t0","0.90_percentile",0.722993764
"Complex Warm Clear","Black Crappie","Linf","0.90_percentile",346.0702858
"Complex Warm Clear","Black Crappie","K","0.90_percentile",0.481235101
"Complex Warm Clear","Black Crappie","t0","0.90_percentile",0.634320851
"Complex Warm Dark","Black Crappie","Linf","0.90_percentile",370.9925294
"Complex Warm Dark","Black Crappie","K","0.90_percentile",0.24893907
"Complex Warm Dark","Black Crappie","t0","0.90_percentile",-0.295056236
"Simple Cool Dark","Black Crappie","Linf","0.90_percentile",439.2405758
"Simple Cool Dark","Black Crappie","K","0.90_percentile",0.273112222
"Simple Cool Dark","Black Crappie","t0","0.90_percentile",0.225766225
"Simple Riverine","Black Crappie","Linf","0.90_percentile",390.1739058
"Simple Riverine","Black Crappie","K","0.90_percentile",0.268522684
"Simple Riverine","Black Crappie","t0","0.90_percentile",-0.147474801
"Simple Warm Clear","Black Crappie","Linf","0.90_percentile",525.3307028
"Simple Warm Clear","Black Crappie","K","0.90_percentile",0.379526721
"Simple Warm Clear","Black Crappie","t0","0.90_percentile",0.54319852
"Simple Warm Dark","Black Crappie","Linf","0.90_percentile",322.2021788
"Simple Warm Dark","Black Crappie","K","0.90_percentile",0.511839702
"Simple Warm Dark","Black Crappie","t0","0.90_percentile",0.616866326
"Complex Cool Clear","Bluegill","Linf","0.90_percentile",698.4718299
"Complex Cool Clear","Bluegill","K","0.90_percentile",0.113020661
"Complex Cool Clear","Bluegill","t0","0.90_percentile",-1.017236043
"Complex Cool Dark","Bluegill","Linf","0.90_percentile",327.8877169
"Complex Cool Dark","Bluegill","K","0.90_percentile",0.172176664
"Complex Cool Dark","Bluegill","t0","0.90_percentile",-0.665237951
"Complex Riverine","Bluegill","Linf","0.90_percentile",284.6005955
"Complex Riverine","Bluegill","K","0.90_percentile",0.217373821
"Complex Riverine","Bluegill","t0","0.90_percentile",-0.438736282
"Complex Two Story","Bluegill","Linf","0.90_percentile",533.7804133
"Complex Two Story","Bluegill","K","0.90_percentile",0.124624899
"Complex Two Story","Bluegill","t0","0.90_percentile",-0.735358571
"Complex Warm Clear","Bluegill","Linf","0.90_percentile",457.2536914
"Complex Warm Clear","Bluegill","K","0.90_percentile",0.11496519
"Complex Warm Clear","Bluegill","t0","0.90_percentile",-0.541522548
"Complex Warm Dark","Bluegill","Linf","0.90_percentile",340.3164568
"Complex Warm Dark","Bluegill","K","0.90_percentile",0.145367549
"Complex Warm Dark","Bluegill","t0","0.90_percentile",-1.083336965
"Simple Cool Clear","Bluegill","Linf","0.90_percentile",402.7711968
"Simple Cool Clear","Bluegill","K","0.90_percentile",0.227581445
"Simple Cool Clear","Bluegill","t0","0.90_percentile",0.12900735
"Simple Cool Dark","Bluegill","Linf","0.90_percentile",400.8577635
"Simple Cool Dark","Bluegill","K","0.90_percentile",0.155936306
"Simple Cool Dark","Bluegill","t0","0.90_percentile",-0.639787532
"Simple Riverine","Bluegill","Linf","0.90_percentile",282.3703716
"Simple Riverine","Bluegill","K","0.90_percentile",0.221137343
"Simple Riverine","Bluegill","t0","0.90_percentile",-0.379468401
"Simple Two Story","Bluegill","Linf","0.90_percentile",670.9408429
"Simple Two Story","Bluegill","K","0.90_percentile",0.254494384
"Simple Two Story","Bluegill","t0","0.90_percentile",0.111720588
"Simple Warm Clear","Bluegill","Linf","0.90_percentile",410.6025563
"Simple Warm Clear","Bluegill","K","0.90_percentile",0.128998601
"Simple Warm Clear","Bluegill","t0","0.90_percentile",-0.862289447
"Simple Warm Dark","Bluegill","Linf","0.90_percentile",333.7745698
"Simple Warm Dark","Bluegill","K","0.90_percentile",0.193530908
"Simple Warm Dark","Bluegill","t0","0.90_percentile",-0.385784319
